type,timestamp,ping.latency,download.bandwidth,upload.bandwidth,packetLoss,isp,server.name,server.host,result.url
result,2020-08-07 05:45:22+07:00,8.95,132.156384,15.41824,0.0,FirstMedia,CBN,speedtest.cbn.id,https://www.speedtest.net/result/c/ec425d7d-67ac-4605-af22-1d2a95d3f1d4
result,2020-08-07 06:00:26+07:00,11.952,151.158816,15.606576,0.0,FirstMedia,BALIFIBER (PT Bali Towerindo Sentra Tbk),speedtest.balifiber.id,https://www.speedtest.net/result/c/b28a1678-20ec-4d01-8c47-552b716faad8
result,2020-08-07 06:15:22+07:00,10.027999999999999,25.894824,15.100936,0.0,FirstMedia,Biznet Networks,speedtest.biznetnetworks.com,https://www.speedtest.net/result/c/368c636e-785c-4aab-a3d3-0ec9a0ae82b7
result,2020-08-07 06:30:20+07:00,10.238999999999999,138.0552,15.569864,0.0,FirstMedia,My Republic Indonesia,158.140.187.5,https://www.speedtest.net/result/c/c3d506d9-90e0-4747-95fc-ace7d050e275
result,2020-08-07 06:45:25+07:00,9.079,106.968488,15.58784,0.0,FirstMedia,FirstMedia,jkt-speedtest.fast.net.id,https://www.speedtest.net/result/c/730e1dae-dc8c-4fda-829a-6d1f260e297b
result,2020-08-07 07:00:26+07:00,8.709,142.177216,15.330128,0.6666666666666666,FirstMedia,FirstMedia,jkt-speedtest.fast.net.id,https://www.speedtest.net/result/c/6b6ce98f-87d7-4117-8178-9a073c764bd8
result,2020-08-07 07:15:19+07:00,9.745,25.797504,15.507488,0.0,FirstMedia,Biznet Networks,speedtest.biznetnetworks.com,https://www.speedtest.net/result/c/38e2d2e5-ce4d-4236-91e1-e251d78f6a3e
result,2020-08-07 07:30:25+07:00,9.163,102.803648,15.317736,0.0,FirstMedia,CBN,speedtest.cbn.id,https://www.speedtest.net/result/c/a19b60dd-4fe2-47db-8067-a9fa1ae9466a
result,2020-08-07 07:45:17+07:00,8.362,130.517504,15.512976,0.0,FirstMedia,CBN,speedtest.cbn.id,https://www.speedtest.net/result/c/30896bdb-bff2-4f7a-a3dc-385970847321
result,2020-08-07 08:00:25+07:00,8.943,19.200208,15.293976,0.5555555555555556,FirstMedia,Biznet Networks,speedtest.biznetnetworks.com,https://www.speedtest.net/result/c/3e4c1edb-979f-4c01-8106-6bcd77daed17
result,2020-08-07 08:15:25+07:00,9.011000000000001,23.767344,15.345968,0.0,FirstMedia,Biznet Networks,speedtest.biznetnetworks.com,https://www.speedtest.net/result/c/5ba3f093-aa81-4ed4-9307-64d9dd101db0
result,2020-08-07 08:30:26+07:00,9.902999999999999,93.283144,14.349816,0.0,FirstMedia,My Republic Indonesia,158.140.187.5,https://www.speedtest.net/result/c/a67421fb-f97e-4abf-b600-4b014403156e
result,2020-08-07 08:45:25+07:00,15.763,116.813816,14.277504,0.0,FirstMedia,FirstMedia,jkt-speedtest.fast.net.id,https://www.speedtest.net/result/c/48d1cc72-7d49-486d-886f-6a5b7084f4c5
result,2020-08-07 09:00:30+07:00,10.79,102.024032,15.517048,0.0,FirstMedia,My Republic Indonesia,158.140.187.5,https://www.speedtest.net/result/c/f9825e9e-f6ba-44c1-a35a-85bf0bf30ce7
result,2020-08-07 09:15:21+07:00,9.415,17.401528,15.41196,0.0,FirstMedia,Biznet Networks,speedtest.biznetnetworks.com,https://www.speedtest.net/result/c/cb3d3b04-c96c-47d8-8e1b-0305601c6486
result,2020-08-07 09:30:24+07:00,10.231,19.860992,15.38412,0.0,FirstMedia,Biznet Networks,speedtest.biznetnetworks.com,https://www.speedtest.net/result/c/59008baa-c701-4a36-9a67-d4d998c17fd9
result,2020-08-07 09:45:27+07:00,8.942,97.190344,15.04472,0.0,FirstMedia,CBN,speedtest.cbn.id,https://www.speedtest.net/result/c/328b72cc-7777-4aa8-b9ca-19f99d1f2fa2
result,2020-08-07 10:00:34+07:00,11.369000000000002,60.633888,12.792216,0.0,FirstMedia,PT Parsaoran Global Datatrans,speedtest.hsp.net.id,https://www.speedtest.net/result/c/d2ffeee9-567a-447e-b6e9-773f4454cf88
